"Tumor_Sample_Barcode" "type"
"TCGA-VS-A8Q9-01" "TCGA-VS-A8Q9" "Tumor"
"TCGA-C5-A7CJ-01" "TCGA-C5-A7CJ" "Tumor"
"TCGA-EA-A439-01" "TCGA-EA-A439" "Tumor"
"TCGA-DS-A1OA-01" "TCGA-DS-A1OA" "Tumor"
"TCGA-ZJ-AAXA-01" "TCGA-ZJ-AAXA" "Tumor"
"TCGA-IR-A3LL-01" "TCGA-IR-A3LL" "Tumor"
"TCGA-C5-A907-01" "TCGA-C5-A907" "Tumor"
"TCGA-EK-A2RN-01" "TCGA-EK-A2RN" "Tumor"
"TCGA-HM-A6W2-01" "TCGA-HM-A6W2" "Tumor"
"TCGA-JW-A5VJ-01" "TCGA-JW-A5VJ" "Tumor"
"TCGA-C5-A901-01" "TCGA-C5-A901" "Tumor"
"TCGA-ZJ-AAXT-01" "TCGA-ZJ-AAXT" "Tumor"
"TCGA-JW-A852-01" "TCGA-JW-A852" "Tumor"
"TCGA-VS-A8EG-01" "TCGA-VS-A8EG" "Tumor"
"TCGA-ZJ-AAXN-01" "TCGA-ZJ-AAXN" "Tumor"
"TCGA-IR-A3LI-01" "TCGA-IR-A3LI" "Tumor"
"TCGA-EK-A3GK-01" "TCGA-EK-A3GK" "Tumor"
"TCGA-C5-A1ME-01" "TCGA-C5-A1ME" "Tumor"
"TCGA-Q1-A5R1-01" "TCGA-Q1-A5R1" "Tumor"
"TCGA-C5-A1MP-01" "TCGA-C5-A1MP" "Tumor"
"TCGA-EA-A4BA-01" "TCGA-EA-A4BA" "Tumor"
"TCGA-EK-A2RB-01" "TCGA-EK-A2RB" "Tumor"
"TCGA-XS-A8TJ-01" "TCGA-XS-A8TJ" "Tumor"
"TCGA-EK-A2R7-01" "TCGA-EK-A2R7" "Tumor"
"TCGA-DR-A0ZL-01" "TCGA-DR-A0ZL" "Tumor"
"TCGA-EK-A2IP-01" "TCGA-EK-A2IP" "Tumor"
"TCGA-C5-A1BK-01" "TCGA-C5-A1BK" "Tumor"
"TCGA-EA-A3Y4-01" "TCGA-EA-A3Y4" "Tumor"
"TCGA-C5-A2M1-01" "TCGA-C5-A2M1" "Tumor"
"TCGA-VS-A958-01" "TCGA-VS-A958" "Tumor"
"TCGA-FU-A3TX-01" "TCGA-FU-A3TX" "Tumor"
"TCGA-EK-A2PK-01" "TCGA-EK-A2PK" "Tumor"
"TCGA-EK-A2RL-01" "TCGA-EK-A2RL" "Tumor"
"TCGA-EX-A3L1-01" "TCGA-EX-A3L1" "Tumor"
"TCGA-HM-A4S6-01" "TCGA-HM-A4S6" "Tumor"
"TCGA-EA-A1QT-01" "TCGA-EA-A1QT" "Tumor"
