"","dynamicColors","mergedColors"
"CACNA2D1","turquoise","greenyellow"
"CACNA2D2","black","black"
"CACNA2D3","green","green"
"CACNB1","black","black"
"CACNB3","turquoise","greenyellow"
"CACNG4","black","black"
"CACYBP","cyan","cyan"
"CAD","turquoise","greenyellow"
"CADM1","brown","brown"
"CADM4","turquoise","greenyellow"
"CADPS2","yellow","black"
"CALB2","brown","brown"
"CALCOCO1","turquoise","greenyellow"
"CALCOCO2","turquoise","greenyellow"
"CALCRL","turquoise","greenyellow"
"CALD1","brown","brown"
"CALHM2","brown","brown"
"CALM1","turquoise","greenyellow"
"CALM2","turquoise","greenyellow"
"CALM3","lightcyan","lightcyan"
"CALML3","green","green"
"CALML4","yellow","black"
"CALML5","green","green"
"CALML6","pink","pink"
"CALR","royalblue","royalblue"
"CALU","turquoise","greenyellow"
"CAMK1","turquoise","greenyellow"
"CAMK1D","turquoise","greenyellow"
"CAMK1G","brown","brown"
"CAMK2B","turquoise","greenyellow"
"CAMK2D","turquoise","greenyellow"
"CAMK2G","turquoise","greenyellow"
"CAMK2N1","yellow","black"
"CAMK2N2","black","black"
"CAMK4","blue","blue"
"CAMKK1","grey60","grey60"
"CAMKK2","turquoise","greenyellow"
"CAMLG","greenyellow","greenyellow"
"CAMP","black","black"
"CAMSAP1","salmon","green"
"CAMTA1","pink","pink"
"CAMTA2","grey60","grey60"
"CAND1","turquoise","greenyellow"
"CAND2","pink","pink"
"CANT1","turquoise","greenyellow"
"CANX","greenyellow","greenyellow"
"CAP1","turquoise","greenyellow"
"CAP2","turquoise","greenyellow"
"CAPG","blue","blue"
"CAPN1","salmon","green"
"CAPN10","darkred","darkred"
"CAPN12","turquoise","greenyellow"
"CAPN13","yellow","black"
"CAPN2","turquoise","greenyellow"
"CAPN3","turquoise","greenyellow"
"CAPN5","yellow","black"
"CAPN7","magenta","magenta"
"CAPNS1","lightcyan","lightcyan"
"CAPNS2","green","green"
"CAPRIN1","turquoise","greenyellow"
"CAPRIN2","turquoise","greenyellow"
"CAPS","black","black"
"CAPS2","turquoise","greenyellow"
"CAPZA1","turquoise","greenyellow"
"CAPZA2","turquoise","greenyellow"
"CARD10","purple","greenyellow"
"CARD11","blue","blue"
"CARD14","salmon","green"
"CARD16","blue","blue"
"CARD17","blue","blue"
"CARD6","salmon","green"
"CARD8","turquoise","greenyellow"
"CARD9","blue","blue"
"CARHSP1","red","red"
"CARM1","turquoise","greenyellow"
"CARS2","green","green"
"CASC3","turquoise","greenyellow"
"CASC4","turquoise","greenyellow"
"CASD1","turquoise","greenyellow"
"CASK","turquoise","greenyellow"
"CASKIN2","turquoise","greenyellow"
"CASP1","blue","blue"
"CASP10","blue","blue"
"CASP14","yellow","black"
"CASP2","turquoise","greenyellow"
"CASP3","turquoise","greenyellow"
"CASP4","blue","blue"
"CASP5","blue","blue"
"CASP6","turquoise","greenyellow"
"CASP7","turquoise","greenyellow"
"CASP8","turquoise","greenyellow"
"CASP8AP2","purple","greenyellow"
"CASP9","turquoise","greenyellow"
"CASS4","blue","blue"
"CAST","salmon","green"
"CASZ1","turquoise","greenyellow"
"CAT","purple","greenyellow"
"CATSPER2","turquoise","greenyellow"
"CATSPER3","greenyellow","greenyellow"
"CATSPERB","yellow","black"
"CAV1","green","green"
"CAV2","green","green"
"CBFA2T2","turquoise","greenyellow"
"CBFA2T3","salmon","green"
"CBFB","tan","tan"
"CBL","turquoise","greenyellow"
"CBLB","turquoise","greenyellow"
"CBLC","grey","grey"
"CBLL1","turquoise","greenyellow"
"CBLN1","black","black"
"CBLN3","blue","blue"
"CBR1","green","green"
"CBR3","green","green"
"CBR4","lightyellow","greenyellow"
"CBS","magenta","magenta"
"CBWD1","midnightblue","midnightblue"
"CBWD2","turquoise","greenyellow"
"CBX1","turquoise","greenyellow"
"CBX2","turquoise","greenyellow"
"CBX3","turquoise","greenyellow"
"CBX4","turquoise","greenyellow"
"CBX5","turquoise","greenyellow"
"CBX6","turquoise","greenyellow"
"CBX7","turquoise","greenyellow"
"CBX8","black","black"
"CBY1","black","black"
"CC2D1A","turquoise","greenyellow"
"CC2D1B","turquoise","greenyellow"
"CC2D2A","black","black"
"CCAR1","turquoise","greenyellow"
"CCDC102A","brown","brown"
"CCDC102B","brown","brown"
"CCDC106","lightcyan","lightcyan"
"CCDC107","green","green"
