"","dynamicColors","mergedColors"
"KIF7","brown","brown"
"KIF9","black","black"
"KIFAP3","turquoise","greenyellow"
"KIFC1","turquoise","greenyellow"
"KIFC2","turquoise","greenyellow"
"KIFC3","brown","brown"
"KIR2DL4","blue","blue"
"KISS1","yellow","black"
"KISS1R","blue","blue"
"KIT","turquoise","greenyellow"
"KITLG","turquoise","greenyellow"
"KLC1","turquoise","greenyellow"
"KLC2","turquoise","greenyellow"
"KLC3","green","green"
"KLC4","royalblue","royalblue"
"KLF10","turquoise","greenyellow"
"KLF11","turquoise","greenyellow"
"KLF12","turquoise","greenyellow"
"KLF13","turquoise","greenyellow"
"KLF15","yellow","black"
"KLF16","midnightblue","midnightblue"
"KLF2","brown","brown"
"KLF3","turquoise","greenyellow"
"KLF4","turquoise","greenyellow"
"KLF5","turquoise","greenyellow"
"KLF6","turquoise","greenyellow"
"KLF7","salmon","green"
"KLF8","salmon","green"
"KLF9","blue","blue"
"KLHDC1","turquoise","greenyellow"
"KLHDC10","turquoise","greenyellow"
"KLHDC2","turquoise","greenyellow"
"KLHDC3","red","red"
"KLHDC4","tan","tan"
"KLHDC7A","yellow","black"
"KLHDC7B","blue","blue"
"KLHDC8B","blue","blue"
"KLHDC9","black","black"
"KLHL11","turquoise","greenyellow"
"KLHL12","cyan","cyan"
"KLHL13","turquoise","greenyellow"
"KLHL15","turquoise","greenyellow"
"KLHL17","turquoise","greenyellow"
"KLHL18","magenta","magenta"
"KLHL2","turquoise","greenyellow"
"KLHL20","turquoise","greenyellow"
"KLHL21","salmon","green"
"KLHL22","turquoise","greenyellow"
"KLHL23","purple","greenyellow"
"KLHL24","pink","pink"
"KLHL25","turquoise","greenyellow"
"KLHL26","turquoise","greenyellow"
"KLHL28","turquoise","greenyellow"
"KLHL3","turquoise","greenyellow"
"KLHL30","yellow","black"
"KLHL31","turquoise","greenyellow"
"KLHL35","grey","grey"
"KLHL36","tan","tan"
"KLHL5","turquoise","greenyellow"
"KLHL6","blue","blue"
"KLHL7","turquoise","greenyellow"
"KLHL8","turquoise","greenyellow"
"KLHL9","turquoise","greenyellow"
"KLK1","yellow","black"
"KLK10","green","green"
"KLK11","green","green"
"KLK12","green","green"
"KLK13","green","green"
"KLK14","green","green"
"KLK5","green","green"
"KLK6","grey","grey"
"KLK7","green","green"
"KLK8","green","green"
"KLRB1","blue","blue"
"KLRC1","blue","blue"
"KLRC2","blue","blue"
"KLRD1","blue","blue"
"KLRF1","grey","grey"
"KLRG1","blue","blue"
"KLRG2","yellow","black"
"KLRK1","blue","blue"
"KNTC1","turquoise","greenyellow"
"KPNA1","pink","pink"
"KPNA2","turquoise","greenyellow"
"KPNA3","turquoise","greenyellow"
"KPNA4","pink","pink"
"KPNA5","purple","greenyellow"
"KPNA6","turquoise","greenyellow"
"KPNB1","turquoise","greenyellow"
"KPTN","lightcyan","lightcyan"
"KRAS","turquoise","greenyellow"
"KRBA1","turquoise","greenyellow"
"KRCC1","turquoise","greenyellow"
"KREMEN2","grey","grey"
"KRI1","turquoise","greenyellow"
"KRIT1","turquoise","greenyellow"
"KRR1","turquoise","greenyellow"
"KRT1","green","green"
"KRT10","green","green"
"KRT13","green","green"
"KRT14","green","green"
"KRT15","green","green"
"KRT16","green","green"
"KRT17","green","green"
"KRT18","green","green"
"KRT19","grey","grey"
"KRT23","yellow","black"
"KRT24","green","green"
"KRT3","green","green"
"KRT31","green","green"
"KRT33A","green","green"
"KRT34","grey","grey"
"KRT4","green","green"
"KRT5","green","green"
"KRT6A","green","green"
"KRT6B","green","green"
"KRT6C","green","green"
"KRT7","yellow","black"
"KRT75","green","green"
"KRT78","green","green"
"KRT79","green","green"
"KRT8","green","green"
"KRT80","turquoise","greenyellow"
"KRT81","grey","grey"
"KRT9","green","green"
"KRTAP4-1","green","green"
"KRTAP5-1","yellow","black"
"KRTCAP2","salmon","green"
"KRTCAP3","yellow","black"
"KRTDAP","green","green"
"KSR1","turquoise","greenyellow"
"KTI12","turquoise","greenyellow"
"KTN1","turquoise","greenyellow"
"KYNU","grey","grey"
"L1CAM","brown","brown"
"L2HGDH","turquoise","greenyellow"
"L3MBTL2","turquoise","greenyellow"
"L3MBTL3","turquoise","greenyellow"
"L3MBTL4","blue","blue"
"LACTB","turquoise","greenyellow"
"LACTB2","turquoise","greenyellow"
"LAD1","green","green"
"LAG3","blue","blue"
"LAGE3","turquoise","greenyellow"
"LAIR1","blue","blue"
"LAIR2","blue","blue"
"LAMA2","brown","brown"
"LAMA3","green","green"
"LAMA4","brown","brown"
"LAMA5","turquoise","greenyellow"
"LAMB1","brown","brown"
"LAMB2","brown","brown"
"LAMB3","green","green"
"LAMC1","brown","brown"
"LAMC2","green","green"
"LAMC3","brown","brown"
"LAMP1","turquoise","greenyellow"
"LAMP2","turquoise","greenyellow"
"LAMP3","blue","blue"
"LANCL1","darkred","darkred"
"LANCL2","turquoise","greenyellow"
"LANCL3","green","green"
"LAP3","blue","blue"
"LAPTM4A","turquoise","greenyellow"
"LAPTM4B","turquoise","greenyellow"
"LAPTM5","blue","blue"
"LARP1","greenyellow","greenyellow"
"LARP1B","lightyellow","greenyellow"
"LARP4","turquoise","greenyellow"
"LARP4B","turquoise","greenyellow"
"LARP6","brown","brown"
"LARP7","turquoise","greenyellow"
"LARS2","magenta","magenta"
"LAS1L","turquoise","greenyellow"
"LASP1","turquoise","greenyellow"
"LAT2","blue","blue"
"LATS1","purple","greenyellow"
"LATS2","turquoise","greenyellow"
"LAX1","blue","blue"
"LAYN","brown","brown"
"LBH","brown","brown"
"LBR","turquoise","greenyellow"
"LBX2","yellow","black"
"LCA5","turquoise","greenyellow"
"LCAT","tan","tan"
"LCE1C","green","green"
"LCE3D","green","green"
"LCE3E","green","green"
"LCK","blue","blue"
"LCLAT1","turquoise","greenyellow"
"LCMT1","red","red"
"LCMT2","turquoise","greenyellow"
"LCN12","yellow","black"
"LCN2","yellow","black"
"LCOR","turquoise","greenyellow"
"LCORL","lightyellow","greenyellow"
"LCP1","blue","blue"
"LCP2","blue","blue"
"LDB1","turquoise","greenyellow"
"LDB2","brown","brown"
"LDHA","turquoise","greenyellow"
"LDHB","red","red"
"LDHC","black","black"
"LDHD","yellow","black"
"LDLR","turquoise","greenyellow"
"LDLRAD1","yellow","black"
"LDLRAD3","turquoise","greenyellow"
"LDLRAP1","turquoise","greenyellow"
"LDOC1","brown","brown"
"LEAP2","greenyellow","greenyellow"
"LEF1","brown","brown"
"LEFTY2","brown","brown"
"LEMD1","grey","grey"
"LEMD2","royalblue","royalblue"
"LEMD3","turquoise","greenyellow"
"LENG1","lightcyan","lightcyan"
"LENG8","turquoise","greenyellow"
"LENG9","grey","grey"
"LEO1","turquoise","greenyellow"
"LEPR","greenyellow","greenyellow"
"LEPROT","turquoise","greenyellow"
"LEPROTL1","turquoise","greenyellow"
"LETM1","lightyellow","greenyellow"
"LETM2","grey","grey"
"LETMD1","turquoise","greenyellow"
"LFNG","green","green"
"LGALS1","brown","brown"
"LGALS2","blue","blue"
"LGALS3","yellow","black"
"LGALS3BP","yellow","black"
"LGALS4","yellow","black"
"LGALS7","green","green"
"LGALS7B","green","green"
"LGALS8","turquoise","greenyellow"
"LGALS9","blue","blue"
"LGALS9B","grey","grey"
"LGALS9C","turquoise","greenyellow"
"LGI3","green","green"
"LGI4","brown","brown"
"LGMN","blue","blue"
"LGR4","turquoise","greenyellow"
"LGR5","brown","brown"
"LGR6","yellow","black"
"LHB","greenyellow","greenyellow"
"LHFPL2","blue","blue"
"LHPP","grey","grey"
"LHX2","pink","pink"
"LHX4","turquoise","greenyellow"
"LHX5","yellow","black"
"LHX6","turquoise","greenyellow"
"LIAS","lightyellow","greenyellow"
"LIF","yellow","black"
"LIFR","turquoise","greenyellow"
"LIG1","lightcyan","lightcyan"
"LIG3","turquoise","greenyellow"
"LIG4","turquoise","greenyellow"
"LILRA4","blue","blue"
"LILRA5","blue","blue"
"LILRA6","blue","blue"
"LILRB1","blue","blue"
"LILRB2","blue","blue"
"LILRB3","blue","blue"
"LILRB4","blue","blue"
"LILRB5","blue","blue"
"LIMA1","turquoise","greenyellow"
"LIMCH1","yellow","black"
"LIMD1","magenta","magenta"
"LIMD2","blue","blue"
"LIME1","turquoise","greenyellow"
"LIMK1","turquoise","greenyellow"
"LIMK2","salmon","green"
"LIMS1","turquoise","greenyellow"
"LIMS2","brown","brown"
"LIN37","lightcyan","lightcyan"
"LIN52","turquoise","greenyellow"
"LIN54","turquoise","greenyellow"
"LIN7B","lightcyan","lightcyan"
"LIN7C","turquoise","greenyellow"
"LIN9","cyan","cyan"
"LINGO1","brown","brown"
"LINS1","salmon","green"
"LIPA","blue","blue"
"LIPE","turquoise","greenyellow"
"LIPG","turquoise","greenyellow"
"LIPH","yellow","black"
"LIPK","green","green"
"LIPM","turquoise","greenyellow"
"LIPT1","turquoise","greenyellow"
"LITAF","turquoise","greenyellow"
"LIX1L","brown","brown"
"LLGL1","turquoise","greenyellow"
"LLGL2","yellow","black"
"LLPH","turquoise","greenyellow"
"LMAN1","turquoise","greenyellow"
"LMAN2","red","red"
"LMAN2L","purple","greenyellow"
"LMBR1","turquoise","greenyellow"
"LMBR1L","turquoise","greenyellow"
"LMBRD1","purple","greenyellow"
"LMBRD2","turquoise","greenyellow"
"LMCD1","black","black"
"LMF1","black","black"
"LMF2","midnightblue","midnightblue"
"LMLN","turquoise","greenyellow"
"LMNA","green","green"
"LMNB1","greenyellow","greenyellow"
"LMNB2","midnightblue","midnightblue"
"LMO1","grey","grey"
"LMO2","blue","blue"
"LMO3","brown","brown"
"LMO4","turquoise","greenyellow"
"LMO7","turquoise","greenyellow"
"LMOD1","brown","brown"
"LMTK2","turquoise","greenyellow"
"LMTK3","grey","grey"
"LMX1B","grey","grey"
"LNPEP","turquoise","greenyellow"
"LNX1","turquoise","greenyellow"
"LNX2","turquoise","greenyellow"
"LONP1","midnightblue","midnightblue"
"LONP2","tan","tan"
"LONRF1","turquoise","greenyellow"
"LONRF3","yellow","black"
"LOX","greenyellow","greenyellow"
"LOXL1","brown","brown"
"LOXL2","brown","brown"
"LOXL3","brown","brown"
"LOXL4","brown","brown"
"LPAR1","turquoise","greenyellow"
"LPAR2","midnightblue","midnightblue"
"LPAR3","green","green"
"LPAR5","green","green"
"LPCAT1","green","green"
"LPCAT2","turquoise","greenyellow"
"LPCAT3","turquoise","greenyellow"
"LPCAT4","turquoise","greenyellow"
"LPGAT1","turquoise","greenyellow"
"LPIN1","turquoise","greenyellow"
"LPIN2","yellow","black"
"LPIN3","turquoise","greenyellow"
"LPL","brown","brown"
"LPP","turquoise","greenyellow"
"LPXN","blue","blue"
"LRBA","turquoise","greenyellow"
"LRCH1","turquoise","greenyellow"
"LRCH2","brown","brown"
"LRCH3","pink","pink"
"LRCH4","turquoise","greenyellow"
"LRFN1","yellow","black"
"LRFN3","turquoise","greenyellow"
"LRFN4","green","green"
"LRG1","yellow","black"
"LRGUK","black","black"
"LRIG1","magenta","magenta"
"LRIG2","turquoise","greenyellow"
"LRIG3","turquoise","greenyellow"
"LRMP","blue","blue"
"LRP1","green","green"
"LRP10","turquoise","greenyellow"
"LRP11","purple","greenyellow"
"LRP12","turquoise","greenyellow"
"LRP3","turquoise","greenyellow"
"LRP4","turquoise","greenyellow"
"LRP5","turquoise","greenyellow"
"LRP5L","turquoise","greenyellow"
"LRP6","turquoise","greenyellow"
"LRP8","turquoise","greenyellow"
"LRPAP1","lightyellow","greenyellow"
"LRPPRC","turquoise","greenyellow"
"LRRC1","salmon","green"
"LRRC14","turquoise","greenyellow"
"LRRC15","brown","brown"
"LRRC17","brown","brown"
"LRRC20","black","black"
"LRRC23","black","black"
"LRRC25","blue","blue"
"LRRC26","yellow","black"
"LRRC27","black","black"
"LRRC28","turquoise","greenyellow"
"LRRC29","tan","tan"
"LRRC3","yellow","black"
"LRRC32","brown","brown"
"LRRC34","black","black"
"LRRC37A2","turquoise","greenyellow"
"LRRC37A3","turquoise","greenyellow"
"LRRC37B","turquoise","greenyellow"
"LRRC39","turquoise","greenyellow"
"LRRC4","turquoise","greenyellow"
"LRRC40","turquoise","greenyellow"
"LRRC41","turquoise","greenyellow"
"LRRC42","turquoise","greenyellow"
"LRRC45","red","red"
"LRRC46","black","black"
"LRRC49","black","black"
"LRRC4B","brown","brown"
"LRRC56","black","black"
"LRRC57","turquoise","greenyellow"
"LRRC58","pink","pink"
"LRRC59","turquoise","greenyellow"
"LRRC6","black","black"
"LRRC61","green","green"
"LRRC8A","green","green"
"LRRC8B","turquoise","greenyellow"
"LRRC8C","turquoise","greenyellow"
"LRRC8D","turquoise","greenyellow"
"LRRC8E","turquoise","greenyellow"
"LRRCC1","turquoise","greenyellow"
"LRRFIP1","turquoise","greenyellow"
"LRRFIP2","magenta","magenta"
"LRRK1","turquoise","greenyellow"
"LRRK2","blue","blue"
"LRRN1","black","black"
"LRRN2","brown","brown"
"LRRN3","blue","blue"
"LRRN4CL","brown","brown"
"LRSAM1","turquoise","greenyellow"
"LRTOMT","black","black"
"LRWD1","turquoise","greenyellow"
"LSAMP","brown","brown"
"LSG1","pink","pink"
"LSM1","turquoise","greenyellow"
"LSM10","red","red"
"LSM11","greenyellow","greenyellow"
"LSM12","turquoise","greenyellow"
"LSM14A","turquoise","greenyellow"
"LSM14B","turquoise","greenyellow"
"LSM2","red","red"
"LSM3","magenta","magenta"
"LSM4","midnightblue","midnightblue"
"LSM5","red","red"
"LSM6","turquoise","greenyellow"
"LSM7","midnightblue","midnightblue"
"LSM8","darkred","darkred"
"LSP1","blue","blue"
"LSR","lightcyan","lightcyan"
"LSS","turquoise","greenyellow"
"LST1","blue","blue"
"LTA","blue","blue"
"LTA4H","turquoise","greenyellow"
"LTB","blue","blue"
"LTB4R","green","green"
"LTB4R2","green","green"
"LTBP1","turquoise","greenyellow"
"LTBP2","brown","brown"
"LTBP3","brown","brown"
"LTBP4","turquoise","greenyellow"
"LTBR","red","red"
"LTF","yellow","black"
"LTK","yellow","black"
"LTV1","purple","greenyellow"
"LUC7L","black","black"
"LUC7L2","turquoise","greenyellow"
"LUM","brown","brown"
"LUZP1","turquoise","greenyellow"
"LXN","yellow","black"
"LY6D","green","green"
"LY6E","blue","blue"
"LY6G5B","turquoise","greenyellow"
"LY6G5C","black","black"
"LY6G6C","green","green"
"LY6K","yellow","black"
"LY75","blue","blue"
"LY86","blue","blue"
"LY9","blue","blue"
"LY96","blue","blue"
"LYAR","lightyellow","greenyellow"
"LYG1","black","black"
"LYL1","blue","blue"
"LYN","turquoise","greenyellow"
"LYNX1","green","green"
"LYPD1","grey","grey"
"LYPD2","yellow","black"
"LYPD3","green","green"
"LYPD5","green","green"
"LYPD6","turquoise","greenyellow"
"LYPD6B","turquoise","greenyellow"
"LYPLA1","turquoise","greenyellow"
"LYPLA2","tan","tan"
"LYPLAL1","black","black"
"LYRM1","black","black"
"LYRM2","purple","greenyellow"
"LYRM4","red","red"
"LYRM7","greenyellow","greenyellow"
"LYSMD1","cyan","cyan"
"LYSMD2","blue","blue"
"LYSMD3","greenyellow","greenyellow"
"LYSMD4","green","green"
"LYST","turquoise","greenyellow"
"LYVE1","brown","brown"
"LYZ","blue","blue"
"LZIC","turquoise","greenyellow"
"LZTFL1","magenta","magenta"
"LZTR1","turquoise","greenyellow"
"LZTS1","brown","brown"
"LZTS2","turquoise","greenyellow"
"M6PR","turquoise","greenyellow"
"MACC1","turquoise","greenyellow"
"MACF1","turquoise","greenyellow"
"MACROD1","blue","blue"
"MACROD2","turquoise","greenyellow"
"MAD1L1","red","red"
"MAD2L1","turquoise","greenyellow"
"MAD2L1BP","royalblue","royalblue"
"MAD2L2","red","red"
"MADD","turquoise","greenyellow"
"MAEA","lightyellow","greenyellow"
"MAF","green","green"
"MAF1","red","red"
"MAFA","grey","grey"
"MAFB","green","green"
"MAFF","turquoise","greenyellow"
"MAFG","turquoise","greenyellow"
"MAFK","turquoise","greenyellow"
"MAGED1","black","black"
"MAGED2","black","black"
"MAGEE1","turquoise","greenyellow"
"MAGEF1","pink","pink"
"MAGEH1","brown","brown"
"MAGI1","magenta","magenta"
"MAGI2","turquoise","greenyellow"
"MAGI3","turquoise","greenyellow"
"MAGIX","yellow","black"
"MAGOH","red","red"
"MAGOHB","red","red"
"MAGT1","turquoise","greenyellow"
"MAK","black","black"
"MAK16","turquoise","greenyellow"
"MAL","green","green"
"MAL2","turquoise","greenyellow"
"MALL","salmon","green"
"MALT1","salmon","green"
"MAMDC2","brown","brown"
"MAMDC4","yellow","black"
"MAML1","greenyellow","greenyellow"
"MAML2","turquoise","greenyellow"
"MAML3","turquoise","greenyellow"
"MAMLD1","turquoise","greenyellow"
"MAN1A1","brown","brown"
"MAN1A2","turquoise","greenyellow"
"MAN1B1","royalblue","royalblue"
"MAN1C1","turquoise","greenyellow"
"MAN2A1","greenyellow","greenyellow"
"MAN2A2","turquoise","greenyellow"
"MAN2B1","blue","blue"
"MAN2B2","lightyellow","greenyellow"
"MAN2C1","turquoise","greenyellow"
"MANBA","turquoise","greenyellow"
"MANBAL","tan","tan"
"MANEA","purple","greenyellow"
"MANEAL","magenta","magenta"
"MANSC1","turquoise","greenyellow"
"MAOA","green","green"
"MAOB","brown","brown"
"MAP1A","brown","brown"
"MAP1B","brown","brown"
"MAP1LC3A","yellow","black"
"MAP1LC3B","tan","tan"
"MAP1S","yellow","black"
"MAP2","brown","brown"
"MAP2K1","salmon","green"
"MAP2K3","yellow","black"
"MAP2K4","grey60","grey60"
"MAP2K5","turquoise","greenyellow"
"MAP2K6","yellow","black"
"MAP2K7","midnightblue","midnightblue"
"MAP3K10","lightcyan","lightcyan"
"MAP3K12","brown","brown"
"MAP3K13","pink","pink"
"MAP3K14","blue","blue"
"MAP3K2","turquoise","greenyellow"
"MAP3K3","turquoise","greenyellow"
"MAP3K4","purple","greenyellow"
"MAP3K5","turquoise","greenyellow"
"MAP3K6","green","green"
"MAP3K7","purple","greenyellow"
"MAP3K8","turquoise","greenyellow"
"MAP3K9","turquoise","greenyellow"
"MAP4","magenta","magenta"
"MAP4K1","blue","blue"
"MAP4K2","turquoise","greenyellow"
"MAP4K3","turquoise","greenyellow"
"MAP4K4","turquoise","greenyellow"
"MAP4K5","turquoise","greenyellow"
"MAP6D1","pink","pink"
"MAP7","purple","greenyellow"
"MAP7D1","green","green"
"MAP7D2","turquoise","greenyellow"
"MAP9","brown","brown"
"MAPK1","turquoise","greenyellow"
"MAPK10","turquoise","greenyellow"
"MAPK11","yellow","black"
"MAPK12","grey","grey"
"MAPK13","turquoise","greenyellow"
"MAPK14","turquoise","greenyellow"
"MAPK15","black","black"
"MAPK1IP1L","turquoise","greenyellow"
"MAPK3","tan","tan"
"MAPK6","salmon","green"
"MAPK7","turquoise","greenyellow"
"MAPK8","turquoise","greenyellow"
"MAPK8IP1","black","black"
"MAPK8IP2","pink","pink"
"MAPK8IP3","turquoise","greenyellow"
"MAPK9","greenyellow","greenyellow"
"MAPKAPK2","cyan","cyan"
"MAPKAPK3","magenta","magenta"
"MAPKAPK5","turquoise","greenyellow"
"MAPKBP1","green","green"
"MAPRE1","turquoise","greenyellow"
"MAPRE2","turquoise","greenyellow"
"MAPRE3","pink","pink"
"MARCKS","purple","greenyellow"
"MARCKSL1","black","black"
"MARCO","blue","blue"
"MARK1","turquoise","greenyellow"
"MARK2","turquoise","greenyellow"
"MARK4","turquoise","greenyellow"
"MARS2","turquoise","greenyellow"
"MARVELD2","greenyellow","greenyellow"
"MARVELD3","tan","tan"
"MASP1","brown","brown"
"MAST1","turquoise","greenyellow"
"MAST2","turquoise","greenyellow"
"MAST4","green","green"
"MASTL","turquoise","greenyellow"
"MAT1A","grey","grey"
"MAT2A","turquoise","greenyellow"
"MAT2B","greenyellow","greenyellow"
"MATK","blue","blue"
"MATN2","turquoise","greenyellow"
"MATN3","brown","brown"
"MAX","turquoise","greenyellow"
"MAZ","turquoise","greenyellow"
"MB","yellow","black"
"MBD1","turquoise","greenyellow"
"MBD2","green","green"
"MBD3","midnightblue","midnightblue"
"MBD4","pink","pink"
"MBD5","turquoise","greenyellow"
"MBD6","turquoise","greenyellow"
"MBIP","turquoise","greenyellow"
"MBLAC1","turquoise","greenyellow"
"MBLAC2","greenyellow","greenyellow"
"MBNL1","pink","pink"
"MBNL2","turquoise","greenyellow"
"MBNL3","turquoise","greenyellow"
"MBOAT1","turquoise","greenyellow"
"MBOAT2","turquoise","greenyellow"
"MBOAT7","lightcyan","lightcyan"
"MBP","turquoise","greenyellow"
"MBTD1","turquoise","greenyellow"
"MBTPS1","tan","tan"
"MBTPS2","turquoise","greenyellow"
"MC1R","tan","tan"
"MCAM","brown","brown"
"MCAT","black","black"
"MCC","green","green"
"MCCC1","pink","pink"
"MCCC2","greenyellow","greenyellow"
"MCEE","turquoise","greenyellow"
"MCF2L","yellow","black"
"MCFD2","turquoise","greenyellow"
"MCL1","turquoise","greenyellow"
"MCM10","turquoise","greenyellow"
"MCM2","pink","pink"
"MCM3","royalblue","royalblue"
"MCM3AP","turquoise","greenyellow"
"MCM4","turquoise","greenyellow"
"MCM5","pink","pink"
"MCM6","turquoise","greenyellow"
"MCM7","pink","pink"
"MCM8","turquoise","greenyellow"
"MCM9","purple","greenyellow"
"MCOLN1","midnightblue","midnightblue"
"MCOLN2","blue","blue"
"MCOLN3","purple","greenyellow"
"MCPH1","turquoise","greenyellow"
"MCTP1","turquoise","greenyellow"
"MCTP2","turquoise","greenyellow"
"MCTS1","turquoise","greenyellow"
"MDC1","royalblue","royalblue"
"MDFI","green","green"
"MDFIC","turquoise","greenyellow"
"MDGA1","salmon","green"
"MDH1","turquoise","greenyellow"
"MDH1B","black","black"
"MDH2","red","red"
"MDK","black","black"
"MDM1","turquoise","greenyellow"
"MDM2","turquoise","greenyellow"
"MDM4","turquoise","greenyellow"
"MDN1","purple","greenyellow"
"MDP1","turquoise","greenyellow"
"ME1","black","black"
"ME2","turquoise","greenyellow"
"ME3","green","green"
"MEA1","red","red"
"MECP2","turquoise","greenyellow"
"MECR","tan","tan"
"MED1","turquoise","greenyellow"
"MED10","turquoise","greenyellow"
"MED11","grey60","grey60"
"MED12","turquoise","greenyellow"
"MED13","turquoise","greenyellow"
"MED13L","turquoise","greenyellow"
"MED14","turquoise","greenyellow"
"MED15","turquoise","greenyellow"
"MED16","midnightblue","midnightblue"
"MED17","lightgreen","lightgreen"
"MED18","tan","tan"
"MED19","turquoise","greenyellow"
"MED20","royalblue","royalblue"
"MED21","turquoise","greenyellow"
"MED22","turquoise","greenyellow"
"MED23","purple","greenyellow"
"MED24","turquoise","greenyellow"
"MED25","lightcyan","lightcyan"
"MED27","midnightblue","midnightblue"
"MED28","lightyellow","greenyellow"
"MED29","lightcyan","lightcyan"
"MED30","turquoise","greenyellow"
"MED31","grey60","grey60"
"MED4","turquoise","greenyellow"
"MED7","greenyellow","greenyellow"
"MED8","turquoise","greenyellow"
"MED9","grey60","grey60"
"MEF2A","turquoise","greenyellow"
"MEF2B","blue","blue"
"MEF2C","brown","brown"
"MEF2D","cyan","cyan"
"MEFV","blue","blue"
"MEGF6","turquoise","greenyellow"
"MEGF8","turquoise","greenyellow"
"MEGF9","turquoise","greenyellow"
"MEI1","grey","grey"
"MEIS1","turquoise","greenyellow"
"MEIS2","turquoise","greenyellow"
"MEIS3","brown","brown"
"MELK","turquoise","greenyellow"
"MEMO1","turquoise","greenyellow"
"MEN1","turquoise","greenyellow"
"MEOX1","brown","brown"
"MEPCE","tan","tan"
"MERTK","turquoise","greenyellow"
"MESP1","yellow","black"
"MEST","purple","greenyellow"
"MET","turquoise","greenyellow"
"METAP1","turquoise","greenyellow"
"METAP2","turquoise","greenyellow"
"METRN","black","black"
"METRNL","purple","greenyellow"
"METTL1","red","red"
"METTL14","turquoise","greenyellow"
"METTL2A","turquoise","greenyellow"
"METTL2B","turquoise","greenyellow"
"METTL3","turquoise","greenyellow"
"METTL4","turquoise","greenyellow"
"METTL5","royalblue","royalblue"
"METTL6","magenta","magenta"
"METTL7A","yellow","black"
"METTL7B","yellow","black"
"METTL8","turquoise","greenyellow"
"METTL9","turquoise","greenyellow"
"MEX3A","turquoise","greenyellow"
"MEX3B","turquoise","greenyellow"
"MEX3C","turquoise","greenyellow"
"MEX3D","midnightblue","midnightblue"
"MFAP1","turquoise","greenyellow"
"MFAP2","brown","brown"
"MFAP3","turquoise","greenyellow"
"MFAP3L","brown","brown"
"MFAP4","brown","brown"
"MFAP5","brown","brown"
"MFF","darkred","darkred"
"MFGE8","brown","brown"
"MFHAS1","turquoise","greenyellow"
"MFN1","pink","pink"
"MFN2","salmon","green"
"MFNG","blue","blue"
"MFSD1","pink","pink"
"MFSD10","lightyellow","greenyellow"
"MFSD11","turquoise","greenyellow"
"MFSD3","red","red"
"MFSD5","grey","grey"
"MFSD6","turquoise","greenyellow"
"MFSD6L","yellow","black"
"MFSD8","turquoise","greenyellow"
"MFSD9","turquoise","greenyellow"
"MGA","turquoise","greenyellow"
"MGAT1","red","red"
"MGAT2","turquoise","greenyellow"
"MGAT3","yellow","black"
"MGAT4A","turquoise","greenyellow"
"MGAT4B","greenyellow","greenyellow"
"MGAT5","turquoise","greenyellow"
"MGAT5B","grey","grey"
"MGLL","yellow","black"
"MGMT","red","red"
"MGP","brown","brown"
"MGRN1","turquoise","greenyellow"
"MGST1","purple","greenyellow"
"MGST2","lightyellow","greenyellow"
"MGST3","cyan","cyan"
"MIA","green","green"
"MIA3","cyan","cyan"
"MIB1","turquoise","greenyellow"
"MIB2","tan","tan"
"MICA","royalblue","royalblue"
"MICAL1","blue","blue"
"MICAL2","brown","brown"
"MICALL1","green","green"
"MICALL2","grey","grey"
"MICB","blue","blue"
"MID1","turquoise","greenyellow"
"MID1IP1","turquoise","greenyellow"
"MID2","turquoise","greenyellow"
"MIDN","turquoise","greenyellow"
"MIER1","turquoise","greenyellow"
"MIER2","midnightblue","midnightblue"
"MIER3","greenyellow","greenyellow"
"MIF","red","red"
"MIF4GD","turquoise","greenyellow"
"MIIP","red","red"
"MINK1","grey60","grey60"
"MINPP1","turquoise","greenyellow"
"MIOS","turquoise","greenyellow"
"MIOX","yellow","black"
"MIPEP","turquoise","greenyellow"
"MIPOL1","turquoise","greenyellow"
"MIS12","grey60","grey60"
"MITD1","turquoise","greenyellow"
"MITF","yellow","black"
"MIXL1","blue","blue"
"MKI67","turquoise","greenyellow"
"MKKS","turquoise","greenyellow"
"MKLN1","turquoise","greenyellow"
"MKNK1","turquoise","greenyellow"
"MKNK2","midnightblue","midnightblue"
"MKRN1","turquoise","greenyellow"
"MKRN2","magenta","magenta"
"MKS1","turquoise","greenyellow"
"MKX","turquoise","greenyellow"
"MLEC","turquoise","greenyellow"
"MLF1","black","black"
"MLF2","red","red"
"MLH1","magenta","magenta"
"MLH3","turquoise","greenyellow"
"MLKL","blue","blue"
"MLLT1","midnightblue","midnightblue"
"MLLT10","turquoise","greenyellow"
"MLLT11","turquoise","greenyellow"
"MLLT3","purple","greenyellow"
"MLLT6","turquoise","greenyellow"
"MLPH","yellow","black"
"MLST8","red","red"
"MLX","turquoise","greenyellow"
"MLXIP","turquoise","greenyellow"
"MLXIPL","yellow","black"
"MLYCD","tan","tan"
"MMAA","turquoise","greenyellow"
"MMAB","red","red"
"MMACHC","turquoise","greenyellow"
"MMADHC","turquoise","greenyellow"
"MMD","turquoise","greenyellow"
"MME","grey","grey"
"MMEL1","yellow","black"
"MMGT1","turquoise","greenyellow"
"MMP1","brown","brown"
"MMP10","green","green"
"MMP11","brown","brown"
"MMP12","blue","blue"
"MMP13","green","green"
"MMP14","turquoise","greenyellow"
"MMP15","yellow","black"
"MMP17","grey","grey"
"MMP19","brown","brown"
