"","p.value","HR","Low 95%CI","High 95%CI"
"GLYCTK",0.868472774268342,1.0192272606631,0.813538693551889,1.27692046747442
"CRIP2",0.461579565648488,0.943544312631411,0.808308449145351,1.10140611648981
"ICA1",0.362597148469293,1.07142528244741,0.923549269726186,1.2429787705943
"BIN1",0.371253605046099,1.11051433818721,0.882537860510244,1.39738151812137
"PPIL6",0.406876268203623,0.894574342198873,0.687513408635047,1.16399657616765
"CCDC96",0.0719098559778601,0.73924917822653,0.531981528476538,1.02727128341018
"KLF15",0.931104749067569,0.989235758273724,0.774006848449508,1.26431360059371
"SLC7A2",0.515669176520991,1.03881801838194,0.926126374610081,1.16522205273478
"LRTOMT",0.410714747585743,0.847405523511151,0.571170728778172,1.25723550787228
"CPAMD8",0.431137964275471,0.927830389469262,0.769975460791437,1.11804762029405
"SPEF2",0.548309796370187,0.902254712720022,0.644879765778821,1.2623493708821
"EPOR",0.603769330407356,1.05556186901987,0.860591809529345,1.29470307175952
"ADRA2C",0.169926944954874,0.899937464663312,0.774147084362388,1.04616739720938
"RDH5",0.552809026428732,0.876916598124213,0.56833259608039,1.35305052951243
"PLS1",0.669347439817432,1.03487850420592,0.884205062244057,1.2112275355554
"GPR160",0.270815191922022,0.909547818025797,0.768317226868255,1.07673914412613
"SNTB1",0.0989644906172637,1.17060877446679,0.970829985503701,1.41149832959442
"PIH1D2",0.047622102422808,0.643603430982763,0.416143091108681,0.995391693922423
"TMPRSS2",0.905659375112573,1.00782260995936,0.88597016145083,1.14643410956642
"PADI2",0.77654428169202,0.977137699084918,0.832904160620906,1.14634807714395
"DNAL1",0.336691892755586,0.829263756112105,0.566002143359318,1.21497486408739
"B3GNT3",0.994343301567312,1.0004220714638,0.890264765502617,1.12420974057855
"CYB5D2",0.162518846647217,0.786532210464916,0.561528925035836,1.1016937694872
"RHPN2",0.548407138858918,1.05506911123752,0.885625639011206,1.25693157520866
"PTP4A2",0.120615494572765,1.45554874350502,0.906091678705443,2.33819843456235
"ANG",0.658596520036091,1.03881829374818,0.877350944237524,1.23000203568906
"RARRES1",0.641181421522326,1.02398236315543,0.926845722226158,1.13129926039355
"MPV17L",0.242523657987784,0.898816900178671,0.751581152175279,1.07489632717451
"LXN",0.146372313500403,1.12989585618147,0.958226336335078,1.33232055664312
"PTPN18",0.0825747291112339,0.723441926042721,0.501953133601202,1.0426635184077
"SLC23A1",0.0533727924270505,0.680758491376928,0.460849815333709,1.00560336179415
"SEZ6L2",0.0120609796170691,1.2273277927211,1.0459344209056,1.44017969069363
"C11orf71",0.0460396752414489,0.731277073508338,0.537715881150581,0.994514346674398
"MAP2K6",0.632132980402958,1.05573920206132,0.84549872448999,1.31825776962751
"NWD1",0.193355860192425,0.870004641182817,0.705327044513486,1.07313065841922
"PRAF2",0.0623446916922405,0.784384526255568,0.607600822159388,1.01260410221725
"DISP1",0.446347051851996,1.12548101487795,0.830245007904088,1.52570325962986
"PBLD",0.566995734862682,0.923073656169498,0.701808431021096,1.21409908609165
"ACBD4",0.716832744586726,0.948060913568533,0.710659933138868,1.2647673717392
"SLC25A29",0.0160256911422918,0.730854320798422,0.566255794229811,0.943298141357195
"DPP4",0.192447422739967,1.10683309993575,0.950151935688096,1.28935117121683
"SMPD3",0.387716473115323,0.905792748987939,0.723641300630125,1.13379446889598
"LGALS3",0.727873638048026,0.953362831296904,0.728490454912639,1.24764941252037
"B4GALNT3",0.0360079399183058,0.843816719904048,0.719963535755432,0.988975998683769
"GLB1L",0.181865241142633,0.864955753271726,0.699028033130973,1.07026960244623
"FSCN2",0.495025891321447,1.12130225814666,0.807045130548433,1.55792867899516
"MMP15",0.171622073283917,1.1549385636923,0.939430144995913,1.41988533475198
"CDC42EP2",0.207774279609497,1.18709470698781,0.909064342931606,1.55015852762855
"DOK7",0.568588802044686,1.05109695694736,0.885605840540906,1.24751301575565
"MRAP2",0.960016370072886,1.00335546858171,0.880193554551495,1.14375092969842
"STEAP2",0.958456723744804,0.994315524746148,0.802361151143015,1.23219246263705
"TSPAN12",0.169055957718376,1.10153919253956,0.959715767922548,1.26432078460822
"CCDC153",0.0769576468699933,0.74371729193141,0.535677535481221,1.03255293284028
"CCDC149",0.701218358851595,1.05819954557322,0.792623813478631,1.41275881346147
"FAM167A",0.895635872976883,0.989045954613006,0.838964521932291,1.16597528830343
"TSPAN13",0.190542262149906,1.14020794381506,0.936829112219551,1.38773885032117
"REPS2",0.932006220215744,0.98893869512943,0.765952443405688,1.27684133805459
"SCGB3A1",0.745625937287537,1.0160331333891,0.922939829196335,1.11851639238863
"LDLRAD1",0.0436430505129986,0.786006295041417,0.622063168937086,0.993156204538479
"ATP1B1",0.56167700586639,1.05633851050859,0.877839918651034,1.27113272599658
"FBP1",0.238532192488289,0.919839122495875,0.800514959404318,1.05694965638567
"DDAH2",0.74128843501954,1.03724408898256,0.834836720018261,1.28872541699619
"FCGBP",0.153355645458424,0.911664300476251,0.80296923271245,1.03507303007771
"RNF183",0.622037661590364,1.03975840032839,0.890453461395441,1.21409773550574
"GALM",0.789333305718253,0.975704784947665,0.814629570290793,1.16862910712895
"MAGIX",0.0164177904802206,0.693596810699969,0.514421975654188,0.935178819297883
"STS",0.519554088789071,0.935766972232647,0.764580769748902,1.14528099707377
"PRRT3",0.477126030367879,0.904138078391463,0.684823632345611,1.19368787259499
"HOXB5",0.846755838604796,1.01257050795158,0.892080782384413,1.14933429104127
"GDF15",0.325889523256328,0.942679839280878,0.837954156880315,1.06049390899262
"SFXN2",0.0879687403561245,0.752559645091077,0.54290102778652,1.04318465140631
"TSPAN15",0.699772317866316,1.04851124655656,0.824156684481427,1.3339403233104
"FAM3D",0.392702920482289,0.957036890746459,0.865359187587324,1.05842709407557
"MAGED2",0.971565123572183,1.00562978424881,0.738545900185642,1.36930048994125
"EFHC2",0.142321400711457,0.849792540148095,0.683731198704748,1.05618606063228
"LRRC26",0.702845150089186,1.0384431955591,0.855484668125863,1.2605302123829
"JSRP1",0.0805535375094067,0.837152447151841,0.685839861408949,1.02184818819452
"GATA6",0.212015803478779,1.12500912235501,0.935015862439077,1.35360861374097
"TRIM31",0.245172628044916,0.930801917788287,0.824774680953967,1.05045927107783
"ANPEP",0.429780347727362,1.05177138547042,0.927909060316115,1.19216752438812
"ABCA7",0.452035011873005,0.904859322059988,0.697301800414902,1.17419801903807
"PRR15L",0.813493725836583,0.987655462904164,0.890818699759643,1.09501890077929
"SLC35C1",0.0966560283436469,1.27243324739283,0.957608429267231,1.69076035630721
"NKAIN4",0.845647061578326,0.983694039762804,0.833635022990967,1.16076452785424
"LCN12",0.631842006395266,0.944600837821316,0.748167025023031,1.19260902040593
"SCNN1A",0.402501325252403,0.943877537507358,0.824495304766611,1.08054563884162
"FARP1",0.294486334686077,1.12644939182717,0.901636041779815,1.4073175578064
"OSCP1",0.220068800945476,0.832702064267999,0.62146252879261,1.11574342089993
"SPATA17",0.204934271816096,0.819500460845936,0.602394302550781,1.11485285050499
"CEACAM3",0.433753271422006,0.815067163721098,0.488468344903229,1.3600358924138
"DTX1",0.0211441403807029,0.711698929794111,0.532996378271771,0.950316713806663
"C9orf24",0.0138072139558267,0.72855917524327,0.566220618525919,0.937441086502675
"FOLR1",0.828527162256324,1.01079508755828,0.917203749102374,1.11393647271051
"VPS37D",0.975927828448182,1.00294249163918,0.828690725958699,1.2138347999149
"TLE6",0.118991985578037,1.19718303211174,0.954770118324319,1.50114376735177
"FRAS1",0.393996237140427,0.919196496942907,0.757304828806715,1.11569630596896
"CCDC60",0.0566506691100785,0.864506253086898,0.744296354748033,1.00413102503956
"RHOBTB2",0.30562504149925,1.12311241595388,0.899401759768957,1.40246723465806
"CTSE",0.986763546043424,1.00091741975009,0.898150898270972,1.11544249756673
"MDH1B",0.143970099865693,0.782218542281997,0.562654210138759,1.08746337779802
"RASD1",0.714904925622645,1.02310346784622,0.905095098322286,1.15649803855885
"SPATA13",0.169787271158579,0.828464940120825,0.63328693592895,1.0837964879263
"RIBC1",0.00377089471246799,0.59478867947149,0.418497607415816,0.845341925398232
"SPAG16",0.858619881467103,0.978273559096035,0.768238273319861,1.24573220270681
"VASN",0.776388906609096,1.02739916093516,0.852573103826203,1.23807451953755
"SLPI",0.354512165314235,0.946078640142479,0.841333182396077,1.06386484220763
"AP4B1",0.332647177487533,0.814490987018093,0.537775374857133,1.23359231186431
"PARD6A",0.375416788228881,0.908262821961852,0.734189368146568,1.12360841705
"WDR78",0.386525275615486,0.858414101779459,0.607611428487131,1.21274014211443
"LPIN2",0.577834515639077,0.941374701430449,0.760963624716811,1.16455806783545
"PAX8",0.710212173362982,0.977785426637811,0.868520908111366,1.10079599882551
"SMPD1",0.875173844744133,1.02695647179513,0.736920932507672,1.43114348967271
"SIGIRR",0.0669169824698074,0.787246274250134,0.609506930398301,1.01681648790395
"CHN2",0.537633013340568,1.09863206672879,0.81461747902127,1.48166771414594
"CCNO",0.0644100764862438,0.824845719607587,0.672577880439161,1.01158613885831
"GOLM1",0.186805561692431,1.13363185820009,0.941014260480386,1.36567663626069
"SERPINA5",0.00651764788134196,1.26417237452845,1.0677304697756,1.49675581783928
"SELENBP1",0.376974265569659,1.05635325671168,0.935383707943001,1.19296732826286
"STRA6",0.587249829711483,1.040649438314,0.901205417881126,1.20166971034132
"GPD1",0.525153766238037,0.904502559941064,0.663674791914868,1.23271953508953
"ENPP4",0.436031975720409,1.0589749153031,0.916782235253635,1.22322164208489
"LRRC46",0.0885607572957326,0.751532332147981,0.540979091990491,1.04403451931135
"NOSTRIN",0.991046661858798,0.998261367862092,0.736626468517575,1.35282371888069
"C16orf86",0.38696660736397,0.860083246825108,0.611281593992448,1.21015126046533
"PNPLA7",0.247660824252764,0.803248147954155,0.554028609434406,1.16457449345523
"RFK",0.285887805162671,1.14621232136755,0.892114313103404,1.47268423604197
"SYTL3",0.0037707159643502,0.701600678753731,0.552017229352992,0.891717660705347
"PARD3B",0.711000329718464,0.952652875291908,0.73705851663397,1.23130997108149
"PLCB4",0.585396165539271,1.04293315815074,0.89673456326761,1.2129671554164
"RWDD2A",0.526800221583335,1.12877979269589,0.775690609170375,1.64259281385567
"GYG2",0.124192809479209,1.1314734857363,0.966620442124829,1.32444152133805
"TTLL1",0.173888503372113,0.815849710708549,0.608428870853522,1.09398285050064
"DNAJB13",0.626490907579592,0.940704905519245,0.73543253684167,1.20327246203751
"C4orf19",0.98463265008311,0.998698942882404,0.874783221596948,1.14016770542723
"CAPN13",0.903084207010464,0.99192228129807,0.870525261642467,1.13024843216976
"C2orf88",0.797325218189806,0.979652098164469,0.837399760855208,1.14606939039237
"FAM174B",0.926807591167412,1.00714765577365,0.865163093496019,1.17243373897458
"HOXB8",0.813034361940221,0.986973611737087,0.88535224311671,1.10025915429565
"NANS",0.102609239510115,0.718884752139168,0.483668949990771,1.06848969086821
"HOXB6",0.746569755143228,1.01924858287028,0.90795041845327,1.1441898726726
"ENPP1",0.241936335135618,1.13812908695435,0.916375282287914,1.41354513113608
"BMPR1B",0.150704598861669,1.1185000376702,0.960068435520823,1.30307620580149
"CACNA1D",0.521920888032947,0.914915913402294,0.696922901245205,1.20109574115177
"MARCKSL1",0.778785694674183,0.968951635764993,0.777546546939277,1.20747404274046
"PLCH1",0.914566907589657,0.990611127428309,0.833789156468297,1.17692872133448
"GLRX",0.574270018701521,0.928361136706068,0.716283846257658,1.20323026220552
"TFF1",0.0884724818983575,1.06928709146376,0.989965432981785,1.15496445216998
"TMEM63A",0.092389075742993,1.22383549765833,0.967296052244213,1.54841252774025
"CD55",0.842748069664168,0.984691896417363,0.845490740866854,1.14681105777209
"HOXB3",0.516494674750522,0.948566305754014,0.808698958933072,1.11262420517878
"ITM2C",0.452262549620968,1.06987093350781,0.897115164264687,1.27589395426511
"FUT4",0.347143622190308,1.10965401482476,0.893270182133187,1.37845419811977
"CRISP3",0.752189457100582,0.981433140231356,0.873651284329526,1.10251198163531
"CGN",0.803536613264861,0.979864212684936,0.834768621322088,1.15017964352808
"TMEM53",0.529174200392519,1.13145487190451,0.770148639562958,1.66226370000852
"MAK",0.0516349748746562,0.705593398458078,0.496632552567274,1.00247565604387
"RHOU",0.213191063377123,0.896372819210338,0.754542001720494,1.06486349227346
"ADAM28",0.93104857497314,0.991381475608654,0.81486945151141,1.206128452057
"RGS3",0.346605349621104,1.20455506914716,0.817544505592808,1.77476933021037
"LIF",0.0036662448988534,1.24814739389514,1.07480229074175,1.44944975490526
"SLAIN1",0.832267474866537,1.02230260667632,0.833547221471629,1.25380133566047
"SEL1L3",0.892243004349161,1.012719768838,0.84346856494613,1.21593308016262
"TST",0.467659238090091,0.926065646890248,0.75269966866903,1.13936224240235
"TEKT2",0.0522321777870103,0.838340601448521,0.701619054233284,1.00170450017936
"S1PR2",0.138661961777859,0.769509248748491,0.544010712247068,1.08847945560406
"EID2B",0.0297071817256908,0.681419293013094,0.48220061108761,0.962944140288744
"NR3C2",0.234581654342077,0.89468658789013,0.74469843058729,1.07488354704765
"TMEM8B",0.885046694685263,1.01926021308879,0.786984812257071,1.32009076389449
"TSPAN8",0.0592739322737185,1.08157774206949,0.996935984812348,1.17340574516459
"PIWIL4",0.773163005821116,1.03988949241487,0.797036702786705,1.35673821877215
"INSR",0.616186501846884,0.93532746626744,0.72016178601471,1.21477907623441
"ARL3",0.0474213767340005,0.733198114615124,0.539480724909302,0.996475778380312
"WDR38",0.0223188381887115,0.659121951535301,0.460973850197376,0.942443365951643
"KAZALD1",0.150561469107071,0.868293771411517,0.716216881283316,1.05266169113626
